stock_code,corp_name,year,quarter,label,총자산증가율,유동자산증가율,매출액증가율,순이익증가율,영업이익증가율,매출액순이익률,매출총이익률,자기자본순이익률,매출채권회전율,재고자산회전율,총자본회전율,유형자산회전율,매출원가율,부채비율,유동비율,자기자본비율,당좌비율,비유동자산장기적합률,순운전자본비율,차입금의존도,현금비율,유형자산,무형자산,무형자산상각비,유형자산상각비,감가상각비,총자본영업이익률,총자본순이익률,유보액/납입자본비율,총자본투자효율
019440,세아특수강,2020,Q1,1,0.8799103076485917,2.53264726267262,,,,-0.21460600308668065,5.336601282005383,-0.11399823221399119,0.8233660203381414,1.0039016210625187,0.2942735343293021,0.2942735343293021,94.66339871799462,80.5115707320485,186.22428041205208,55.398110821627085,108.34349814979049,4.106889776746397,30.72142923986703,27.578878221918153,6.88740061108205,181505591180.0,5475632258.0,,,,0.2848918614036161,-0.06315286701660264,631.3874151645274,-0.0006315286701660263
019440,세아특수강,2020,H1,1,-3.239993199377869,-2.6085290831819865,,,,-2.7653473624657514,2.595748499435767,-1.132683419288257,0.7531607159181296,0.7543364311151614,0.23368513312230088,0.23368513312230088,97.40425150056423,75.2781446395763,201.21796830336856,57.05217852780766,108.81307291743714,3.653927989122949,33.05267021339307,29.84769560828098,10.740245084955603,176930895391.0,5394687458.0,,,,-0.5749317225419617,-0.6462205665272127,622.9161200723454,-0.006462205665272128
019440,세아특수강,2020,Q3,1,-3.438217295524282,-1.4316673257682186,,,,-1.5579979312316605,3.675695593517884,-0.8159118970331675,0.8419218366519943,1.1303611652586008,0.2966473047479245,0.2966473047479245,96.32430440648211,76.53709762920595,194.21386297591775,56.64531780738656,120.53948265450134,4.13135151203741,32.326402745377244,28.068202206781045,15.877087989353168,171637176608.0,5399342332.0,,,,-0.22901394925217816,-0.4621758871027144,616.8224383687282,-0.004621758871027144
019440,세아특수강,2020,ANNUAL,1,-3.628292399178351,-1.6292580030268518,-8.704884027414849,-138.7157567479218,-95.60515372136831,-0.6497510399250087,4.6651820376320225,-1.3520028315674237,3.188547188618877,4.66970372802299,1.1858167697647048,1.1858167697647048,95.33481796236798,75.47410261657173,195.6147544693837,56.98846639410369,124.54671113139571,4.155314371257215,32.570944889130274,25.16715359433443,13.639320582517259,170121143589.0,2223103637.0,,,,0.15491648385912055,-0.7704856793151316,622.2591676102684,-0.007704856793151316
019440,세아특수강,2021,Q1,1,4.126482653200022,6.982622536780568,,,,1.8785990517683253,7.351645278257295,1.2015905889911551,0.912958388859434,1.2713575608320546,0.35014585352977656,0.35014585352977656,92.6483547217427,82.67260904703969,187.28223431619847,54.74274469592165,117.48206485340754,4.073035983158935,31.907175938957455,25.044500041473285,11.193758876330474,167378627823.0,2173323398.0,,,,0.9615421746761931,0.6577836684216493,619.9142131785297,0.006577836684216493
019440,세아특수강,2021,H1,1,6.716463136201595,11.829881095728805,,,,3.3087593805135143,8.985718121042142,2.3274029680563775,0.9661642972747925,1.2806672762513895,0.38492192026818334,0.38492192026818334,91.01428187895786,82.74005637859189,185.6112979326888,54.722539754953836,112.89750599027717,4.446330929,32.2077336518424,23.793221216721065,5.754633157873855,165602735287.0,2155055552.0,,,,1.792689160457526,1.2736140144526267,636.8876232742124,0.012736140144526268
019440,세아특수강,2021,Q3,1,14.120630020965061,21.683811172725047,,,,,9.090300628996397,,0.9655048424956644,1.0876103473087784,0.368773756906295,0.368773756906295,90.90969937100361,89.05262654624751,181.4052962943437,52.89532434797314,102.705942598409,4.10047245930689,31.884410667046552,25.707383186953503,3.7470893766297317,168753923315.0,2142661043.0,,,,2.0383190392636097,,658.1855450875146,
019440,세아특수강,2021,ANNUAL,1,17.880869583357704,27.518334917743836,36.759351062086985,-728.8822372171797,4040.7050183594124,2.9878533676042505,7.873956809432565,7.863444004537732,3.5706324512589647,3.9431835836590596,1.3757239192817803,1.3757239192817803,92.12604319056743,91.30319797007066,172.1987424571164,52.27304146564501,95.41658152518934,5.2681425240183275,30.22289152701223,27.880962191476993,1.9827819212451505,168035862867.0,2569752539.0,,,,5.441624789580078,4.110461345119785,671.9465625250875,0.041104613451197855
019440,세아특수강,2022,Q1,1,5.54792937091668,6.8945122950070825,,,,1.2143580510815222,5.469045755126476,0.9609333054242639,0.9315049923708419,1.213972734565998,0.38537549382117453,0.38537549382117453,94.53095424487353,105.33472235762756,150.88890686208097,48.700969252454016,88.86423597714706,11.971754535934403,24.621122949610907,29.019632300410926,2.0078441075207154,171572455363.0,2653251358.0,,,,0.7099459847672018,0.4679838336112608,656.0880451575263,0.004679838336112608
019440,세아특수강,2022,H1,1,9.275334202049255,11.442555636261597,,,,3.032311622986087,8.691714790576183,2.3340585360496124,0.9504823293062893,1.0426543164942763,0.3715410951742727,0.3715410951742727,91.30828520942381,107.17199874971402,155.3687769494835,48.269071401300096,86.60255402016642,7.244852971212772,26.19789865066352,33.09036263927989,2.927686015029318,173335861145.0,2642246655.0,,,,1.670018023047934,1.126628381313927,675.2841009731621,0.011266283813139271
019440,세아특수강,2022,Q3,1,9.377289572992709,10.426518020362714,,,,,5.991590926026215,,0.9205609533735115,1.2240085590905974,0.37856655356785285,0.37856655356785285,94.00840907397378,103.64482907214901,157.91639034408072,49.1051014924475,94.82514176460334,6.852007682113963,26.690508873259372,34.64461959312913,4.010700235176412,176133855208.0,2660253001.0,,,,0.8769747061823757,,685.0778333045507,
