stock_code,corp_name,year,quarter,label,총자산증가율,유동자산증가율,매출액증가율,순이익증가율,영업이익증가율,매출액순이익률,매출총이익률,자기자본순이익률,매출채권회전율,재고자산회전율,총자본회전율,유형자산회전율,매출원가율,부채비율,유동비율,자기자본비율,당좌비율,비유동자산장기적합률,순운전자본비율,차입금의존도,현금비율,유형자산,무형자산,무형자산상각비,유형자산상각비,감가상각비,총자본영업이익률,총자본순이익률,유보액/납입자본비율,총자본투자효율
388790,라이콤,2022,Q1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388790,라이콤,2022,H1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388790,라이콤,2022,Q3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388790,라이콤,2022,ANNUAL,0,-0.3249359270156696,-0.3249359270156696,,60.191086666019665,287.0563431145025,,,-0.7940380404730486,0.0,,0.0,0.0,,20.148734247699306,140416.96587079918,83.23017352295983,140416.96587079918,,99.92878353453955,0.0,23024.782575006757,,,,,,-1.883097194460728,-0.6608792389240283,1801.9533533724339,-0.00285735794804637
