stock_code,corp_name,year,quarter,label,총자산증가율,유동자산증가율,매출액증가율,순이익증가율,영업이익증가율,매출액순이익률,매출총이익률,자기자본순이익률,매출채권회전율,재고자산회전율,총자본회전율,유형자산회전율,매출원가율,부채비율,유동비율,자기자본비율,당좌비율,비유동자산장기적합률,순운전자본비율,차입금의존도,현금비율,유형자산,무형자산,무형자산상각비,유형자산상각비,감가상각비,총자본영업이익률,총자본순이익률,유보액/납입자본비율,총자본투자효율
042420,네오위즈홀딩스,2015,Q1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042420,네오위즈홀딩스,2015,H1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042420,네오위즈홀딩스,2015,Q3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042420,네오위즈홀딩스,2015,ANNUAL,0,-0.5360466180389485,38.94152908932323,-1.3294675116511045,-13.097500147338732,-49.8382434065219,25.050984544017734,52.43907884351538,10.138842131680539,1.8186538533329453,1158.414040730961,0.34940654745657257,0.34940654745657257,47.56092115648461,15.833058287299128,650.9800291656314,86.33114024493024,650.8447753189993,,58.439126499772286,0.0,114.98215471610898,3970079211.0,33761788881.0,,,,2.5316085904009555,8.7529780199132,156.2550238007194,0.087529780199132
