stock_code,corp_name,year,quarter,label,총자산증가율,유동자산증가율,매출액증가율,순이익증가율,영업이익증가율,매출액순이익률,매출총이익률,자기자본순이익률,매출채권회전율,재고자산회전율,총자본회전율,유형자산회전율,매출원가율,부채비율,유동비율,자기자본비율,당좌비율,비유동자산장기적합률,순운전자본비율,차입금의존도,현금비율,유형자산,무형자산,무형자산상각비,유형자산상각비,감가상각비,총자본영업이익률,총자본순이익률,유보액/납입자본비율,총자본투자효율
276040,스코넥,2021,Q1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276040,스코넥,2021,H1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276040,스코넥,2021,Q3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276040,스코넥,2021,ANNUAL,0,-25.683091486604898,-8.910345252811688,,,-42.100006471305726,,,,,,,,,-1256.0738187014863,57.47797806150358,-8.64996667014923,50.78163402297713,30.701731495082782,-40.800702753493,16.911277437701955,29.975948543552555,717452322.0,260364840.0,,,,-59.16707102559302,,,
